word,hiragana,romaji,pos,category,domain,source
肋骨,あばらぼね,abarabone,普通名詞,動物-部位,,juman
あばら家,あばらや,abaraya,普通名詞,場所-施設,,juman
虻,あぶ,abu,普通名詞,動物,,juman
油,あぶら,abura,普通名詞,自然物,,juman
油揚げ,あぶらあげ,aburaage,普通名詞,人工物-食べ物,料理・食事,juman
脂汗,あぶらあせ,aburaase,普通名詞,自然物,健康・医学,juman
油絵,あぶらえ,aburae,普通名詞,人工物-その他;抽象物,文化・芸術,juman
脂身,あぶらみ,aburami,普通名詞,動物-部位;人工物-食べ物,料理・食事,juman
油虫,あぶらむし,aburamushi,普通名詞,動物,,juman
油菜,あぶらな,aburana,普通名詞,植物,料理・食事,juman
油売り,あぶらうり,aburauri,サ変名詞,人,,juman
油蝉,あぶらぜみ,aburazemi,普通名詞,動物,,juman
上り口,あがりぐち,agariguchi,普通名詞,場所-施設部位,,juman
揚げ羽蝶,あげはちょう,agehacho,普通名詞,動物,,juman
揚げ物,あげもの,agemono,普通名詞,人工物-食べ物,料理・食事,juman
上げ潮,あげしお,ageshio,普通名詞,抽象物,,juman
間,あいだ,aida,時相名詞,場所-機能;時間,,juman
愛読,あいどく,aidoku,サ変名詞,抽象物,レクリエーション,juman
愛育,あいいく,aiiku,サ変名詞,抽象物,家庭・暮らし,juman
愛飲,あいいん,aiin,サ変名詞,抽象物,料理・食事,juman
藍色,あいいろ,aiiro,普通名詞,色,,juman
愛情,あいじょう,aijo,普通名詞,抽象物,,manual
合い鍵,あいかぎ,aikagi,普通名詞,人工物-その他,家庭・暮らし,juman
相方,あいかた,aikata,普通名詞,人,,juman
愛犬,あいけん,aiken,普通名詞,動物,,juman
合い言葉,あいことば,aikotoba,普通名詞,抽象物,,juman
合い口,あいくち,aikuchi,普通名詞,人工物-その他,,juman
間の手,あいのて,ainote,普通名詞,抽象物,文化・芸術;レクリエーション,juman
愛妻,あいさい,aisai,普通名詞,人,家庭・暮らし,juman
挨拶,あいさつ,aisatsu,サ変名詞,抽象物,,manual
愛車,あいしゃ,aisha,普通名詞,人工物-乗り物,交通,juman
相手,あいて,aite,普通名詞,人,,juman
相手方,あいてかた,aitekata,普通名詞,人;場所-機能,,juman
鰺,あじ,aji,普通名詞,動物;人工物-食べ物,料理・食事,juman
味見,あじみ,ajimi,サ変名詞,抽象物,料理・食事,juman
紫陽花,あじさい,ajisai,普通名詞,植物,,juman
味付け,あじつけ,ajitsuke,サ変名詞,抽象物,料理・食事,juman
赤,あか,aka,普通名詞,色,,juman
赤ちゃん,あかちゃん,akachan,普通名詞,人,家庭・暮らし,juman
赤米,あかごめ,akagome,普通名詞,人工物-食べ物,料理・食事,juman
赤色,あかいろ,akairo,普通名詞,色,,juman
赤松,あかまつ,akamatsu,普通名詞,植物,,juman
赤虫,あかむし,akamushi,普通名詞,動物,,juman
赤ん坊,あかんぼう,akanbo,普通名詞,人,家庭・暮らし,juman
茜,あかね,akane,普通名詞,植物,,juman
茜色,あかねいろ,akaneiro,普通名詞,色,,juman
亜寒帯,あかんたい,akantai,普通名詞,場所-その他,,juman
赤ら顔,あからがお,akaragao,普通名詞,動物-部位,,juman
明かり取り,あかりとり,akaritori,普通名詞,場所-施設部位,家庭・暮らし,juman
赤錆び,あかさび,akasabi,普通名詞,自然物,,juman
赤土,あかつち,akatsuchi,普通名詞,自然物,,juman
暁,あかつき,akatsuki,普通名詞,時間,,juman
曙,あけぼの,akebono,普通名詞,時間,,juman
明け方,あけがた,akegata,時相名詞,時間,,juman
明けの明星,あけのみょうじょう,akenomyojo,普通名詞,自然物,,juman
秋,あき,aki,時相名詞,時間,,juman
空き箱,あきばこ,akibako,普通名詞,人工物-その他,,juman
秋晴れ,あきばれ,akibare,普通名詞,抽象物,,juman
空き瓶,あきびん,akibin,普通名詞,人工物-その他,,juman
空き地,あきち,akichi,普通名詞,場所-その他,,juman
秋口,あきぐち,akiguchi,時相名詞,時間,,juman
空き缶,あきかん,akikan,普通名詞,人工物-その他,,juman
秋草,あきくさ,akikusa,普通名詞,植物,,juman
空き巣,あきす,akisu,普通名詞,人;抽象物,家庭・暮らし,juman
空き家,あきや,akiya,普通名詞,場所-施設,,juman
悪漢,あっかん,akkan,普通名詞,人,,juman
あくび,あくび,akubi,普通名詞,抽象物,,juman
悪弊,あくへい,akuhei,普通名詞,人工物-その他,,juman
悪女,あくじょ,akujo,普通名詞,人,,juman
悪夢,あくむ,akumu,普通名詞,抽象物,,manual
悪人,あくにん,akunin,普通名詞,人,,juman
握手,あくしゅ,akushu,サ変名詞,抽象物,,manual
悪役,あくやく,akuyaku,普通名詞,抽象物,文化・芸術,juman
尼,あま,ama,普通名詞,人,文化・芸術,juman
雨垂れ,あまだれ,amadare,普通名詞,自然物,,juman
尼寺,あまでら,amadera,普通名詞,場所-施設,文化・芸術,juman
雨蛙,あまがえる,amagaeru,普通名詞,動物,,juman
雨傘,あまがさ,amagasa,普通名詞,人工物-その他,家庭・暮らし,juman
雨乞い,あまごい,amagoi,サ変名詞,抽象物,家庭・暮らし,juman
雨具,あまぐ,amagu,普通名詞,人工物-衣類,家庭・暮らし,juman
雨雲,あまぐも,amagumo,普通名詞,自然物,,juman
雨靴,あまぐつ,amagutsu,普通名詞,人工物-衣類,家庭・暮らし,juman
甘口,あまくち,amakuchi,普通名詞,抽象物,料理・食事,juman
雨水,あまみず,amamizu,普通名詞,自然物,,juman
雨漏り,あまもり,amamori,サ変名詞,抽象物,,juman
天の川,あまのがわ,amanogawa,普通名詞,抽象物,,juman
天邪鬼,あまのじゃく,amanojaku,普通名詞,人,,juman
甘党,あまとう,amato,普通名詞,人,料理・食事,juman
雨宿り,あまやどり,amayadori,サ変名詞,抽象物,家庭・暮らし,juman
甘酒,あまざけ,amazake,普通名詞,人工物-食べ物,料理・食事,juman
飴,あめ,ame,普通名詞,人工物-食べ物,料理・食事,juman
雨上がり,あめあがり,ameagari,普通名詞,抽象物;時間,,juman
雨降,あめふらし,amefurashi,普通名詞,動物,,juman
飴色,あめいろ,ameiro,普通名詞,色,,juman
あめんぼ,あめんぼ,amenbo,普通名詞,動物,,juman
網,あみ,ami,普通名詞,人工物-その他,,juman
網棚,あみだな,amidana,普通名詞,場所-施設部位,交通,juman
網戸,あみど,amido,普通名詞,人工物-その他,家庭・暮らし,juman
網目,あみめ,amime,普通名詞,人工物-その他;形・模様,,juman
編み物,あみもの,amimono,普通名詞,人工物-その他,レクリエーション;家庭・暮らし,juman
網元,あみもと,amimoto,普通名詞,人,,juman
穴,あな,ana,普通名詞,場所-自然;抽象物,,juman
穴子,あなご,anago,普通名詞,動物;人工物-食べ物,料理・食事,juman
穴熊,あなぐま,anaguma,普通名詞,動物,,juman
穴蔵,あなぐら,anagura,普通名詞,場所-その他,,juman
あなた,あなた,anata,普通名詞,人,,juman
穴埋め,あなうめ,anaume,サ変名詞,抽象物,,juman
鞍馬,あんば,anba,普通名詞,抽象物,スポーツ,juman
行灯,あんどん,andon,普通名詞,人工物-その他,,juman
姉,あね,ane,普通名詞,人,家庭・暮らし,juman
亜熱帯,あねったい,anettai,普通名詞,場所-その他,,juman
兄,あに,ani,普通名詞,人,家庭・暮らし,juman
兄貴,あにき,aniki,普通名詞,人,家庭・暮らし,juman
兄嫁,あによめ,aniyome,普通名詞,人,家庭・暮らし,juman
暗幕,あんまく,anmaku,普通名詞,人工物-その他,,juman
安眠,あんみん,anmin,サ変名詞,抽象物,家庭・暮らし,juman
案内,あんない,annai,サ変名詞,抽象物,,manual
あの世,あのよ,anoyo,普通名詞,場所-その他,文化・芸術,juman
あんさん,あんさん,ansan,普通名詞,人,,juman
暗室,あんしつ,anshitsu,普通名詞,場所-施設,文化・芸術;科学・技術,juman
暗礁,あんしょう,ansho,普通名詞,自然物,,juman
安息,あんそく,ansoku,サ変名詞,抽象物,家庭・暮らし,juman
安息日,あんそくび,ansokubi,普通名詞,時間,,juman
暗雲,あんうん,anun,普通名詞,自然物,,juman
安山岩,あんざんがん,anzangan,普通名詞,自然物,,juman
杏,あんず,anzu,普通名詞,植物;人工物-食べ物,料理・食事,juman
青大将,あおだいしょう,aodaisho,普通名詞,動物,,juman
葵,あおい,aoi,普通名詞,植物,,juman
青黴,あおかび,aokabi,普通名詞,植物,,juman
青物,あおもの,aomono,普通名詞,植物;人工物-食べ物,料理・食事,juman
仰向け,あおむけ,aomuke,普通名詞,抽象物,,juman
青虫,あおむし,aomushi,普通名詞,動物,,juman
青海苔,あおのり,aonori,普通名詞,植物;人工物-食べ物,料理・食事,juman
青田,あおた,aota,普通名詞,場所-その他,,juman
荒行,あらぎょう,aragyo,普通名詞,抽象物,文化・芸術,juman
洗い場,あらいば,araiba,普通名詞,場所-施設部位,家庭・暮らし,juman
荒巻き,あらまき,aramaki,普通名詞,人工物-食べ物,料理・食事,juman
荒物,あらもの,aramono,普通名詞,人工物-その他,家庭・暮らし,juman
嵐,あらし,arashi,普通名詞,抽象物,,manual
粗筋,あらすじ,arasuji,普通名詞,抽象物,文化・芸術,juman
新手,あらて,arate,普通名詞,人,,juman
荒海,あらうみ,araumi,普通名詞,場所-その他,,juman
荒れ地,あれち,arechi,普通名詞,場所-その他,,juman
荒れ野,あれの,areno,普通名詞,場所-自然,,juman
蟻,あり,ari,普通名詞,動物,,juman
有り金,ありがね,arigane,普通名詞,人工物-金銭,,juman
在りか,ありか,arika,普通名詞,場所-その他,,juman
在りし日,ありしひ,arishihi,時相名詞,時間,,juman
主人,あるじ,aruji,普通名詞,人,家庭・暮らし,juman
麻,あさ,asa,普通名詞,植物,,juman
朝晩,あさばん,asaban,時相名詞,時間,,juman
朝顔,あさがお,asagao,普通名詞,植物,,juman
朝方,あさがた,asagata,時相名詞,時間,,juman
朝げ,あさげ,asage,普通名詞,人工物-食べ物,料理・食事,juman
朝霧,あさぎり,asagiri,普通名詞,抽象物,,manual
朝市,あさいち,asaichi,普通名詞,場所-その他,家庭・暮らし,juman
朝飯,あさめし,asameshi,普通名詞,人工物-食べ物,,juman
浅緑,あさみどり,asamidori,普通名詞,色,,juman
朝な夕な,あさなゆうな,asanayuna,時相名詞,時間,,juman
朝起き,あさおき,asaoki,サ変名詞,抽象物,家庭・暮らし,juman
朝っぱら,あさっぱら,asappara,時相名詞,時間,,juman
あさり,あさり,asari,普通名詞,動物;人工物-食べ物,料理・食事,juman
朝露,あさつゆ,asatsuyu,普通名詞,自然物,,juman
明後日,あさって,asatte,時相名詞,時間,,juman
朝焼け,あさやけ,asayake,普通名詞,抽象物,,juman
朝夕,あさゆう,asayu,時相名詞,時間,,juman
汗,あせ,ase,普通名詞,自然物,,juman
汗水,あせみず,asemizu,普通名詞,自然物,健康・医学,juman
汗疹,あせも,asemo,普通名詞,動物,健康・医学,juman
芦,あし,ashi,普通名詞,植物,,juman
足跡,あしあと,ashiato,普通名詞,人工物-その他,,juman
足踏み,あしぶみ,ashibumi,サ変名詞,抽象物,,juman
足代,あしだい,ashidai,普通名詞,人工物-金銭,,juman
足止め,あしどめ,ashidome,サ変名詞,抽象物,,juman
足掛かり,あしがかり,ashigakari,普通名詞,場所-その他,,juman
足型,あしがた,ashigata,普通名詞,人工物-その他,,juman
海驢,あしか,ashika,普通名詞,動物,,juman
足枷,あしかせ,ashikase,普通名詞,人工物-その他,,juman
足腰,あしこし,ashikoshi,普通名詞,動物-部位,,juman
足首,あしくび,ashikubi,普通名詞,動物-部位,,juman
足下,あしもと,ashimoto,普通名詞,場所-その他,,juman
足音,あしおと,ashioto,普通名詞,抽象物,,manual
足先,あしさき,ashisaki,普通名詞,動物-部位,,juman
明日葉,あしたば,ashitaba,普通名詞,植物;人工物-食べ物,料理・食事,juman
足技,あしわざ,ashiwaza,普通名詞,抽象物,スポーツ,juman
遊び場,あそびば,asobiba,普通名詞,場所-その他,レクリエーション,juman
頭,あたま,atama,普通名詞,動物-部位,,juman
頭金,あたまきん,atamakin,普通名詞,人工物-金銭,家庭・暮らし;ビジネス,juman
当たり年,あたりどし,ataridoshi,普通名詞,時間,,juman
当たり役,あたりやく,atariyaku,普通名詞,抽象物,文化・芸術,juman
宛て先,あてさき,atesaki,普通名詞,場所-その他,,juman
後,あと,ato,時相名詞,場所-機能;時間,,juman
後足,あとあし,atoashi,普通名詞,動物-部位,,juman
後々,あとあと,atoato,時相名詞,時間,,juman
後書き,あとがき,atogaki,普通名詞,抽象物,文化・芸術;メディア,juman
後追い,あとおい,atoi,サ変名詞,抽象物,,juman
後戻り,あともどり,atomodori,サ変名詞,抽象物,,juman
後先,あとさき,atosaki,普通名詞,時間,,juman
後押し,あとおし,atoshi,サ変名詞,抽象物,,juman
跡取り,あととり,atotori,普通名詞,人,家庭・暮らし,juman
跡継ぎ,あとつぎ,atotsugi,普通名詞,人,家庭・暮らし,juman
厚紙,あつがみ,atsugami,普通名詞,人工物-その他,,juman
厚地,あつじ,atsuji,普通名詞,人工物-その他,,juman
泡,あわ,awa,普通名詞,自然物;抽象物,,juman
あわび,あわび,awabi,普通名詞,動物;人工物-食べ物,料理・食事,juman
泡盛,あわもり,awamori,普通名詞,人工物-食べ物,料理・食事,juman
菖蒲,あやめ,ayame,普通名詞,植物,,juman
鮎,あゆ,ayu,普通名詞,動物;人工物-食べ物,料理・食事,juman
あざらし,あざらし,azarashi,普通名詞,動物,,juman
校倉,あぜくら,azekura,普通名詞,場所-施設,,juman
畦道,あぜみち,azemichi,普通名詞,場所-施設,,juman
小豆,あずき,azuki,普通名詞,植物,料理・食事,juman
婆ちゃん,ばあちゃん,baachan,普通名詞,人,家庭・暮らし,juman
馬具,ばぐ,bagu,普通名詞,人工物-その他,,juman
煤煙,ばいえん,baien,普通名詞,自然物,,juman
売薬,ばいやく,baiyaku,普通名詞,人工物-その他,健康・医学,juman
馬術,ばじゅつ,bajutsu,普通名詞,抽象物,スポーツ,juman
化け物,ばけもの,bakemono,普通名詞,抽象物,,juman
麦芽,ばくが,bakuga,普通名詞,人工物-食べ物,料理・食事,juman
幕末,ばくまつ,bakumatsu,普通名詞,時間,,juman
爆笑,ばくしょう,bakusho,サ変名詞,抽象物,,manual
麦酒,ばくしゅ,bakushu,普通名詞,人工物-食べ物,料理・食事,juman
番茶,ばんちゃ,bancha,普通名詞,人工物-食べ物,料理・食事,juman
馬肉,ばにく,baniku,普通名詞,動物-部位;人工物-食べ物,料理・食事,juman
板状,ばんじょう,banjo,普通名詞,形・模様,,juman
番犬,ばんけん,banken,普通名詞,動物,,juman
万国,ばんこく,bankoku,普通名詞,場所-その他,,juman
万人,ばんにん,bannin,普通名詞,人,,juman
晩酌,ばんしゃく,banshaku,サ変名詞,抽象物,料理・食事,juman
晩秋,ばんしゅう,banshu,時相名詞,時間,,juman
晩春,ばんしゅん,banshun,時相名詞,時間,,juman
絆創膏,ばんそうこう,bansoko,普通名詞,人工物-その他,健康・医学;家庭・暮らし,juman
番手,ばんて,bante,普通名詞,人,,juman
番付,ばんづけ,banzuke,普通名詞,抽象物,スポーツ;メディア,juman
薔薇色,ばらいろ,barairo,普通名詞,色,,juman
ばれいしょ,ばれいしょ,bareisho,普通名詞,植物;人工物-食べ物,料理・食事,juman
馬車,ばしゃ,basha,普通名詞,人工物-乗り物,交通,juman
場末,ばすえ,basue,普通名詞,場所-その他,,juman
飛蝗,ばった,batta,普通名詞,動物,,juman
貝独楽,べいごま,beigoma,普通名詞,人工物-その他,レクリエーション,juman
米飯,べいはん,beihan,普通名詞,人工物-食べ物,料理・食事,juman
米人,べいじん,beijin,普通名詞,人,,juman
米寿,べいじゅ,beiju,普通名詞,時間,家庭・暮らし,juman
米貨,べいか,beika,普通名詞,人工物-金銭,,juman
米穀,べいこく,beikoku,普通名詞,人工物-食べ物,料理・食事,juman
米食,べいしょく,beishoku,普通名詞,抽象物,料理・食事,juman
勉学,べんがく,bengaku,サ変名詞,抽象物,教育・学習,juman
紅,べに,beni,普通名詞,色,,juman
紅花,べにばな,benibana,普通名詞,植物,家庭・暮らし;料理・食事,juman
弁当,べんとう,bento,普通名詞,人工物-食べ物,料理・食事,juman
べろ,べろ,bero,普通名詞,動物-部位,,juman
別冊,べっさつ,bessatsu,普通名詞,人工物-その他;抽象物,文化・芸術,juman
別室,べっしつ,besshitsu,普通名詞,場所-施設,,juman
別荘,べっそう,besso,普通名詞,場所-施設,,juman
別院,べついん,betsuin,普通名詞,場所-施設,文化・芸術,juman
別人,べつじん,betsujin,普通名詞,人,,juman
別棟,べつむね,betsumune,普通名詞,場所-施設,,juman
別刷り,べつずり,betsuzuri,サ変名詞,人工物-その他;抽象物,文化・芸術;科学・技術;メディア,juman
美人,びじん,bijin,普通名詞,人,,juman
美術,びじゅつ,bijutsu,普通名詞,抽象物,文化・芸術,juman
美男,びなん,binan,普通名詞,人,,juman
便箋,びんせん,binsen,普通名詞,人工物-その他,家庭・暮らし,juman
瓶詰め,びんづめ,binzume,サ変名詞,人工物-食べ物,料理・食事,juman
美食,びしょく,bishoku,サ変名詞,抽象物,料理・食事,juman
美容院,びよういん,biyoin,普通名詞,場所-施設,家庭・暮らし,juman
尾翼,びよく,biyoku,普通名詞,人工物-その他,,juman
菩提樹,ぼだいじゅ,bodaiju,普通名詞,植物,,juman
孑々,ぼうふら,bofura,普通名詞,動物,,juman
防風林,ぼうふうりん,bofurin,普通名詞,場所-その他,,juman
防波堤,ぼうはてい,bohatei,普通名詞,場所-施設,,juman
棒切れ,ぼうきれ,bokire,普通名詞,植物-部位;人工物-その他,,juman
墨汁,ぼくじゅう,bokuju,普通名詞,人工物-その他,文化・芸術,juman
牧師,ぼくし,bokushi,普通名詞,人,文化・芸術,juman
牧草,ぼくそう,bokuso,普通名詞,植物,,juman
ぼんぼり,ぼんぼり,bonbori,普通名詞,抽象物,文化・芸術,juman
盆地,ぼんち,bonchi,普通名詞,場所-自然,,juman
凡打,ぼんだ,bonda,サ変名詞,抽象物,スポーツ,juman
凡人,ぼんじん,bonjin,普通名詞,人,,juman
煩悩,ぼんのう,bonno,普通名詞,抽象物,文化・芸術,juman
盆踊り,ぼんおどり,bonodori,普通名詞,抽象物,文化・芸術;レクリエーション,juman
凡夫,ぼんぷ,bonpu,普通名詞,人,,juman
盆栽,ぼんさい,bonsai,普通名詞,植物,レクリエーション,juman
梵鐘,ぼんしょう,bonsho,普通名詞,人工物-その他,文化・芸術,juman
亡霊,ぼうれい,borei,普通名詞,人,文化・芸術,juman
菩薩,ぼさつ,bosatsu,普通名詞,人,文化・芸術,juman
母船,ぼせん,bosen,普通名詞,人工物-乗り物,交通,juman
棒高跳び,ぼうたかとび,botakatobi,普通名詞,抽象物,スポーツ,juman
牡丹餅,ぼたもち,botamochi,普通名詞,人工物-食べ物,料理・食事,juman
坊っちゃん,ぼっちゃん,botchan,普通名詞,人,家庭・暮らし,juman
没後,ぼつご,botsugo,普通名詞,時間,,juman
坊や,ぼうや,boya,普通名詞,人,家庭・暮らし,juman
坊主,ぼうず,bozu,普通名詞,人,文化・芸術,juman
武芸,ぶげい,bugei,普通名詞,抽象物,文化・芸術,juman
奉行,ぶぎょう,bugyo,普通名詞,人,,juman
部員,ぶいん,buin,普通名詞,人,スポーツ;教育・学習,juman
武術,ぶじゅつ,bujutsu,普通名詞,抽象物,文化・芸術,juman
仏閣,ぶっかく,bukkaku,普通名詞,場所-施設,文化・芸術,juman
物件,ぶっけん,bukken,普通名詞,人工物-その他;場所-その他,家庭・暮らし;ビジネス,juman
仏教,ぶっきょう,bukkyo,普通名詞,抽象物,文化・芸術,juman
文房具,ぶんぼうぐ,bunbogu,普通名詞,人工物-その他,家庭・暮らし;教育・学習;ビジネス,juman
文物,ぶんぶつ,bunbutsu,普通名詞,抽象物,文化・芸術,juman
文鎮,ぶんちん,bunchin,普通名詞,人工物-その他,文化・芸術,juman
文鳥,ぶんちょう,buncho,普通名詞,動物,,juman
分度器,ぶんどき,bundoki,普通名詞,人工物-その他,教育・学習,juman
文学,ぶんがく,bungaku,普通名詞,抽象物,文化・芸術;教育・学習,juman
文芸,ぶんげい,bungei,普通名詞,抽象物,文化・芸術,juman
文具,ぶんぐ,bungu,普通名詞,人工物-その他,家庭・暮らし;教育・学習;ビジネス,juman
分館,ぶんかん,bunkan,普通名詞,場所-施設,,juman
文庫,ぶんこ,bunko,普通名詞,場所-施設,文化・芸術,juman
分教場,ぶんきょうじょう,bunkyojo,普通名詞,場所-その他,教育・学習,juman
文筆,ぶんぴつ,bunpitsu,普通名詞,抽象物,文化・芸術,juman
文楽,ぶんらく,bunraku,普通名詞,抽象物,文化・芸術,juman
分流,ぶんりゅう,bunryu,サ変名詞,抽象物,教育・学習,juman
分身,ぶんしん,bunshin,普通名詞,動物,,juman
分室,ぶんしつ,bunshitsu,普通名詞,場所-施設,,juman
分水嶺,ぶんすいれい,bunsuirei,普通名詞,場所-自然,,juman
文通,ぶんつう,buntsu,サ変名詞,抽象物,レクリエーション,juman
物品,ぶっぴん,buppin,普通名詞,人工物-その他,,juman
鰤,ぶり,buri,普通名詞,動物;人工物-食べ物,料理・食事,juman
部室,ぶしつ,bushitsu,普通名詞,場所-施設,スポーツ;教育・学習,juman
武将,ぶしょう,busho,普通名詞,人,,juman
物産,ぶっさん,bussan,普通名詞,人工物-その他,家庭・暮らし,juman
仏師,ぶっし,busshi,普通名詞,人,文化・芸術,juman
物質,ぶっしつ,busshitsu,普通名詞,自然物,,juman
豚,ぶた,buta,普通名詞,動物,料理・食事,juman
舞台,ぶたい,butai,普通名詞,場所-施設,文化・芸術,juman
豚肉,ぶたにく,butaniku,普通名詞,動物-部位;人工物-食べ物,料理・食事,juman
仏頂面,ぶっちょうづら,butchozura,普通名詞,動物-部位,,juman
仏陀,ぶつだ,butsuda,普通名詞,人,文化・芸術,juman
仏壇,ぶつだん,butsudan,普通名詞,人工物-その他,文化・芸術;家庭・暮らし,juman
仏具,ぶつぐ,butsugu,普通名詞,人工物-その他,文化・芸術,juman
仏間,ぶつま,butsuma,普通名詞,場所-施設,文化・芸術;家庭・暮らし,juman
仏滅,ぶつめつ,butsumetsu,普通名詞,時間,家庭・暮らし,juman
仏門,ぶつもん,butsumon,普通名詞,抽象物,文化・芸術,juman
物理,ぶつり,butsuri,普通名詞,抽象物,教育・学習;科学・技術,juman
仏前,ぶつぜん,butsuzen,普通名詞,場所-その他,文化・芸術,juman
仏像,ぶつぞう,butsuzo,普通名詞,人工物-その他,文化・芸術,juman
仏典,ぶってん,butten,普通名詞,抽象物,文化・芸術,juman
仏塔,ぶっとう,butto,普通名詞,場所-施設,文化・芸術,juman
蚋,ぶよ,buyo,普通名詞,動物,,juman
白虎,びゃっこ,byakko,普通名詞,動物,,juman
屏風,びょうぶ,byobu,普通名詞,人工物-その他,,juman
描写,びょうしゃ,byosha,サ変名詞,抽象物,文化・芸術,juman
秒針,びょうしん,byoshin,普通名詞,人工物-その他,,juman
秒読み,びょうよみ,byoyomi,普通名詞,時間,,juman
茶,ちゃ,cha,普通名詞,人工物-食べ物,料理・食事,manual
茶柱,ちゃばしら,chabashira,普通名詞,植物-部位;人工物-食べ物,料理・食事,juman
茶畑,ちゃばたけ,chabatake,普通名詞,場所-その他,,juman
ちゃぶ台,ちゃぶだい,chabudai,普通名詞,人工物-その他,料理・食事,juman
茶箪笥,ちゃだんす,chadansu,普通名詞,人工物-その他,家庭・暮らし,juman
茶所,ちゃどころ,chadokoro,普通名詞,場所-機能,,juman
茶釜,ちゃがま,chagama,普通名詞,人工物-その他,料理・食事,juman
茶色,ちゃいろ,chairo,普通名詞,色,,juman
茶器,ちゃき,chaki,普通名詞,人工物-その他,料理・食事,juman
茶漉し,ちゃこし,chakoshi,普通名詞,人工物-その他,料理・食事,juman
着帽,ちゃくぼう,chakubo,普通名詞,抽象物,家庭・暮らし,juman
着服,ちゃくふく,chakufuku,サ変名詞,抽象物,家庭・暮らし;政治,juman
着岸,ちゃくがん,chakugan,サ変名詞,抽象物,交通,juman
着衣,ちゃくい,chakui,サ変名詞,人工物-衣類,家庭・暮らし,juman
着陸,ちゃくりく,chakuriku,サ変名詞,抽象物,交通,juman
嫡子,ちゃくし,chakushi,普通名詞,人,家庭・暮らし,juman
着用,ちゃくよう,chakuyo,サ変名詞,抽象物,家庭・暮らし,juman
茶店,ちゃみせ,chamise,普通名詞,場所-施設,料理・食事,juman
茶の間,ちゃのま,chanoma,普通名詞,場所-施設,家庭・暮らし,juman
茶の湯,ちゃのゆ,chanoyu,普通名詞,抽象物,文化・芸術;料理・食事,juman
ちゃんぽん,ちゃんぽん,chanpon,サ変名詞,人工物-食べ物;抽象物,料理・食事,juman
茶髪,ちゃぱつ,chapatsu,普通名詞,動物-部位,,juman
茶匙,ちゃさじ,chasaji,普通名詞,人工物-その他,料理・食事,juman
茶室,ちゃしつ,chashitsu,普通名詞,場所-施設,文化・芸術,juman
茶托,ちゃたく,chataku,普通名詞,人工物-その他,料理・食事,juman
茶碗,ちゃわん,chawan,普通名詞,人工物-その他,料理・食事,juman
茶筒,ちゃづつ,chazutsu,普通名詞,人工物-その他,料理・食事,juman
ちびっ子,ちびっこ,chibikko,普通名詞,人,家庭・暮らし,juman
父,ちち,chichi,普通名詞,人,家庭・暮らし,juman
父方,ちちかた,chichikata,普通名詞,抽象物,家庭・暮らし,juman
父親,ちちおや,chichioya,普通名詞,人,家庭・暮らし,juman
父上,ちちうえ,chichiue,普通名詞,人,家庭・暮らし,juman
千鳥,ちどり,chidori,普通名詞,動物,,juman
知恵,ちえ,chie,普通名詞,抽象物,,manual
違い棚,ちがいだな,chigaidana,普通名詞,場所-施設部位,家庭・暮らし,juman
地学,ちがく,chigaku,普通名詞,抽象物,教育・学習;科学・技術,juman
千草,ちぐさ,chigusa,普通名詞,植物,,juman
稚魚,ちぎょ,chigyo,普通名詞,動物,料理・食事,juman
地表面,ちひょうめん,chihyomen,普通名詞,場所-その他,,juman
地域,ちいき,chiiki,普通名詞,場所-その他,,juman
地衣類,ちいるい,chiirui,普通名詞,植物,,juman
地軸,ちじく,chijiku,普通名詞,場所-その他,,juman
近場,ちかば,chikaba,普通名詞,場所-その他,,juman
近頃,ちかごろ,chikagoro,時相名詞,時間,,juman
地階,ちかい,chikai,普通名詞,場所-施設部位,,juman
地下茎,ちかけい,chikakei,普通名詞,植物-部位,,juman
地核,ちかく,chikaku,普通名詞,場所-自然,,juman
近道,ちかみち,chikamichi,サ変名詞,場所-その他,交通,juman
力,ちから,chikara,普通名詞,抽象物,,juman
地下鉄,ちかてつ,chikatetsu,普通名詞,人工物-乗り物,交通,juman
遅刻,ちこく,chikoku,サ変名詞,抽象物,,manual
築港,ちくこう,chikuko,サ変名詞,抽象物,交通,juman
蓄音機,ちくおんき,chikuonki,普通名詞,人工物-その他,文化・芸術,juman
畜生,ちくしょう,chikusho,普通名詞,人;動物,,juman
竹輪,ちくわ,chikuwa,普通名詞,人工物-食べ物,料理・食事,juman
地球,ちきゅう,chikyu,普通名詞,自然物,,juman
地球儀,ちきゅうぎ,chikyugi,普通名詞,人工物-その他,,juman
粽,ちまき,chimaki,普通名詞,人工物-食べ物,料理・食事,juman
巷,ちまた,chimata,普通名詞,場所-その他,,juman
鎮守,ちんじゅ,chinju,サ変名詞,抽象物,文化・芸術,juman
鎮魂,ちんこん,chinkon,サ変名詞,抽象物,文化・芸術,juman
珍客,ちんきゃく,chinkyaku,普通名詞,人,,juman
珍味,ちんみ,chinmi,普通名詞,人工物-食べ物,料理・食事,juman
乳飲み子,ちのみご,chinomigo,普通名詞,人,家庭・暮らし,juman
珍品,ちんぴん,chinpin,普通名詞,人工物-その他,,juman
賃貸,ちんたい,chintai,サ変名詞,抽象物,家庭・暮らし;ビジネス,juman
鎮座,ちんざ,chinza,サ変名詞,抽象物,文化・芸術,juman
塵,ちり,chiri,普通名詞,人工物-その他,,juman
